
  1. setup                                          : etime=00:00:00.3    ctime=00:00:00.3    rss= 30.855 Mbyte     virtual= 19.629 Mbyte     
     1. loading mesh                                : etime=00:00:00.2    ctime=00:00:00.2    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
        1. reading ovm-file                         : etime=00:00:00.2    ctime=00:00:00.2    rss= 24.562 Mbyte     virtual= 14.406 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 30.508 Mbyte     virtual= 19.434 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 30.508 Mbyte     virtual= 19.434 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.422 Mbyte     virtual= 19.117 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.176 Mbyte     virtual= 19.422 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.508 Mbyte     virtual= 19.434 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.508 Mbyte     virtual= 19.434 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.508 Mbyte     virtual= 19.434 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:00.2    rss= 54.480 Mbyte     virtual= 44.098 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 54.484 Mbyte     virtual= 44.098 Mbyte     

  4. Frequency 6 GHz                                : etime=00:00:01.9    ctime=00:00:03.5    rss=225.285 Mbyte     virtual=261.719 Mbyte     
     1. Frequency 6 GHz                             : etime=00:00:01.9    ctime=00:00:03.5    rss=224.633 Mbyte     virtual=261.719 Mbyte     
        1. constructing matrix                      : etime=00:00:00.4    ctime=00:00:01.0    rss= 55.855 Mbyte     virtual= 47.004 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 55.855 Mbyte     virtual= 47.004 Mbyte     
           2. 3d                                    : etime=00:00:00.3    ctime=00:00:00.9    rss= 55.855 Mbyte     virtual= 47.004 Mbyte     
