# Time(s) Real Imag
0.0000000000e+00 6.0984641419e-03 7.5190734620e-03
8.1380208333e-09 2.2939550525e-04 8.8861834257e-03
1.6276041667e-08 3.4057741065e-03 5.5729041029e-03
2.4414062500e-08 6.0742100154e-03 4.1836970992e-03
3.2552083333e-08 6.5287324673e-04 -9.2059086754e-04
4.0690104167e-08 2.1950494099e-03 -3.8640418423e-03
4.8828125000e-08 -8.7835196774e-03 1.4083659505e-02
5.6966145833e-08 -5.0726100803e-04 2.0290776922e-02
6.5104166667e-08 1.0027656761e-02 -7.2831130536e-03
7.3242187500e-08 -1.5388359127e-03 -2.4086186009e-02
8.1380208333e-08 1.9426853963e-03 -2.0535968508e-02
8.9518229167e-08 -3.7745127743e-04 1.9180300169e-04
9.7656250000e-08 -3.4623093402e-03 1.4264347541e-02
1.0579427083e-07 7.0883056842e-03 4.2667432866e-03
1.1393229167e-07 6.6164853647e-04 -5.8010021806e-03
1.2207031250e-07 -6.2441374975e-03 -1.7071031024e-02
1.3020833333e-07 -3.5636504415e-03 -2.7452578123e-03
1.3834635417e-07 -9.3191120310e-03 9.3180181681e-03
1.4648437500e-07 -1.4248067983e-02 -9.4698661403e-03
1.5462239583e-07 -1.8234016161e-03 5.1335521549e-04
1.6276041667e-07 1.0316265583e-02 6.0978419273e-03
1.7089843750e-07 1.1376069728e-02 5.1588730408e-03
1.7903645833e-07 1.8872833764e-02 6.1799560701e-03
1.8717447917e-07 8.7527563462e-03 -2.1253032487e-02
1.9531250000e-07 -1.3243067255e-02 -2.5402787076e-03
2.0345052083e-07 -1.2559123509e-02 1.4444107459e-02
2.1158854167e-07 -1.1894345205e-02 -5.3997951940e-03
2.1972656250e-07 -5.3751826617e-03 5.8023679308e-03
2.2786458333e-07 1.2193825914e-02 -3.9660398066e-03
2.3600260417e-07 9.8595857150e-03 -2.1419025716e-04
2.4414062500e-07 -1.1278668134e-02 1.8477673961e-02
2.5227864583e-07 -2.3087121225e-02 -1.2031074137e-02
2.6041666667e-07 -4.9683955431e-03 -1.6078348125e-02
2.6855468750e-07 5.7244453551e-03 -7.8516545393e-03
2.7669270833e-07 -1.4059912957e-03 -6.6717840391e-03
2.8483072917e-07 2.4657639204e-03 1.3504295563e-02
2.9296875000e-07 -2.7926397644e-03 9.9293081436e-03
3.0110677083e-07 -4.3037233872e-03 8.1357983266e-03
3.0924479167e-07 -2.3509402285e-04 1.2931536910e-02
3.1738281250e-07 -4.1580926013e-03 6.7284912909e-03
3.2552083333e-07 6.7086226959e-03 5.2305148033e-03
3.3365885417e-07 3.6655745608e-04 -9.1726109800e-04
3.4179687500e-07 -9.0906138323e-03 -3.9442546647e-03
3.4993489583e-07 6.6753902147e-03 -9.4118137981e-03
3.5807291667e-07 4.6302937041e-03 8.9765435291e-04
3.6621093750e-07 3.4348338192e-03 2.1454918767e-02
3.7434895833e-07 -2.4915685693e-04 1.2885580192e-03
3.8248697917e-07 -1.6391570851e-02 -1.9139620471e-02
3.9062500000e-07 -7.0935389721e-04 -1.6265231233e-02
3.9876302083e-07 4.4348770909e-03 -9.9541286716e-03
4.0690104167e-07 -1.0699963403e-02 -4.1949730913e-03
4.1503906250e-07 3.0941079921e-03 -1.0395783142e-02
4.2317708333e-07 1.4192687146e-02 -1.4350924116e-02
4.3131510417e-07 5.0469696719e-03 -1.6886074730e-02
4.3945312500e-07 -5.0302902063e-03 -5.6451016061e-03
4.4759114583e-07 -1.1003612274e-03 1.1280502169e-02
4.5572916667e-07 1.4856541362e-02 1.3717721963e-03
4.6386718750e-07 9.8069070396e-03 3.2140274337e-03
4.7200520833e-07 6.8407237314e-04 1.8212309686e-03
4.8014322917e-07 1.8159583946e-03 -1.0125421804e-02
4.8828125000e-07 -2.6628941470e-03 4.5606136962e-03
4.9641927083e-07 8.5618888679e-03 3.6076990347e-03
5.0455729167e-07 6.1227091028e-03 -2.7795535247e-03
5.1269531250e-07 -9.7094551814e-03 -5.0735318659e-03
5.2083333333e-07 9.4814843705e-03 -2.2511380249e-02
5.2897135417e-07 7.0207788578e-03 -8.5798192922e-03
5.3710937500e-07 -1.0762085431e-02 1.2082916567e-02
5.4524739583e-07 2.9607334645e-03 6.6063448652e-03
5.5338541667e-07 3.9777605074e-04 -7.5120806437e-03
5.6152343750e-07 -7.9109662528e-03 -2.3198207332e-02
5.6966145833e-07 -1.1898190777e-02 -1.2754773266e-02
5.7779947917e-07 -8.0133990283e-03 -3.1617694524e-03
5.8593750000e-07 1.6357654352e-02 -8.6507990747e-03
5.9407552083e-07 5.8591675626e-03 2.1960451729e-03
6.0221354167e-07 -2.0492085244e-03 2.0911980935e-03
6.1035156250e-07 3.1854101021e-03 4.2552458324e-03
6.1848958333e-07 -2.5195135301e-02 1.0494531172e-02
6.2662760417e-07 -1.4939553802e-02 -1.3885079555e-02
6.3476562500e-07 1.0358297521e-02 -1.5308328369e-03
6.4290364583e-07 -1.9907698531e-03 3.2543766059e-02
6.5104166667e-07 -1.1540999084e-02 5.8581450256e-03
6.5917968750e-07 -1.3842624437e-02 -9.7507002952e-03
6.6731770833e-07 6.7300238891e-03 1.0867122473e-02
6.7545572917e-07 1.4065092897e-02 8.1288509408e-03
6.8359375000e-07 -7.5037996973e-03 1.4343734458e-03
6.9173177083e-07 -2.0871784531e-03 -5.5432144557e-03
6.9986979167e-07 3.5659211165e-03 -1.2599872199e-02
7.0800781250e-07 -6.3064689686e-04 -3.2579783626e-03
7.1614583333e-07 -3.1150357695e-03 -3.8794538380e-04
7.2428385417e-07 1.4674970898e-04 -4.7733648343e-03
7.3242187500e-07 9.4534406397e-03 -7.9640300663e-03
7.4055989583e-07 -6.6814019365e-03 2.0184486808e-04
7.4869791667e-07 -4.0418019116e-03 8.5038872492e-03
7.5683593750e-07 2.6656003426e-03 8.0131303100e-04
7.6497395833e-07 -2.3536210971e-02 1.3379357340e-02
7.7311197917e-07 -1.3816237133e-02 7.0395801854e-03
7.8125000000e-07 1.5774438332e-03 -2.8005294872e-02
7.8938802083e-07 -1.7942941200e-03 -1.5760734862e-02
